Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Favorable,Unfavorable,Undecided,Pollster URL,Source URL,Partisan,Affiliation
Bloomberg/Selzer,2016-06-10,2016-06-13,2016-06-15T21:10:44Z,1000,Adults,Live Phone,31,66,3,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-24686,http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rEtlbMmMoNis/v0,Nonpartisan,None
CBS,2016-06-09,2016-06-13,2016-06-16T00:46:09Z,1280,Adults,Live Phone,26,58,14,http://elections.huffingtonpost.com/pollster/polls/cbs-24687,https://www.scribd.com/doc/315840399/Toplines-CBS-News-poll-Clinton-Trump,Nonpartisan,None
NBC/SurveyMonkey,2016-06-06,2016-06-12,2016-06-14T14:40:03Z,10604,Adults,Internet,37,61,2,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24667,http://www.nbcnews.com/politics/2016-election/poll-clinton-expands-lead-after-becoming-presumptive-nominee-n591531,Nonpartisan,None
ABC/Post,2016-06-08,2016-06-12,2016-06-15T11:33:42Z,1005,Adults,Live Phone,29,70,1,http://elections.huffingtonpost.com/pollster/polls/abc-post-24680,https://www.washingtonpost.com/news/the-fix/wp/2016/06/15/negative-views-of-donald-trump-just-hit-a-new-high-7-in-10-americans/,Nonpartisan,None
Morning Consult,2016-06-08,2016-06-09,2016-06-14T17:52:02Z,1362,Registered Voters,Internet,39,58,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24673,https://morningconsult.com/2016/06/14/poll-less-half-voters-view-clintons-nomination-historic/,Nonpartisan,None
SurveyUSA/Guardian,2016-06-08,2016-06-09,2016-06-13T15:51:52Z,1408,Registered Voters,IVR/Online,36,62,2,http://elections.huffingtonpost.com/pollster/polls/surveyusa-guardian-24656,http://www.surveyusa.com/client/PollReport.aspx?g=16a737fe-f202-42b4-965f-e76b137ba826,Nonpartisan,None
FOX,2016-06-05,2016-06-08,2016-06-09T22:08:00Z,1004,Registered Voters,Live Phone,40,58,2,http://elections.huffingtonpost.com/pollster/polls/fox-24646,http://www.foxnews.com/politics/2016/06/09/fox-news-poll-trump-drops-now-trails-clinton.html,Nonpartisan,None
Ipsos/Reuters,2016-06-04,2016-06-08,2016-06-09T15:29:06Z,1440,Registered Voters,Internet,40,60,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24644,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical6082016.pdf,Nonpartisan,None
YouGov/Economist,2016-06-02,2016-06-05,2016-06-07T16:29:14Z,2000,Adults,Internet,36,61,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24633,https://today.yougov.com/news/2016/06/06/sanders-supporters-expect-win-california-not-phila/,Nonpartisan,None
IBD/TIPP,2016-05-31,2016-06-05,2016-06-06T20:02:49Z,828,Registered Voters,Live Phone,35,63,1,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24625,http://www.investors.com/wp-content/uploads/2016/06/ibdtipp-Tables_June2016_Posting-1.pdf,Nonpartisan,None
Morning Consult,2016-06-01,2016-06-05,2016-06-07T14:20:46Z,4002,Registered Voters,Internet,38,57,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24629,https://morningconsult.com/2016/06/07/poll-ryan-endorsement-doesnt-help-trump-independents/,Nonpartisan,None
Ipsos/Reuters,2016-05-28,2016-06-01,2016-06-02T15:20:28Z,1271,Registered Voters,Internet,40,60,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24596,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical60116.pdf,Nonpartisan,None
Quinnipiac,2016-05-24,2016-05-30,2016-06-01T12:56:33Z,1561,Registered Voters,Live Phone,34,59,6,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24586,https://www.qu.edu/images/polling/us/us06012016_Ugb28vf.pdf,Nonpartisan,None
Morning Consult,2016-05-24,2016-05-30,2016-06-01T15:20:58Z,4002,Registered Voters,Internet,38,58,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24589,https://morningconsult.com/2016/06/01/poll-democrats-want-sanders-stay-race/,Nonpartisan,None
Ipsos/Reuters,2016-05-21,2016-05-25,2016-05-26T14:36:36Z,1271,Registered Voters,Internet,42,58,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24559,http://big.assets.huffingtonpost.com/2016ReutersTracking5252016.pdf,Nonpartisan,None
YouGov/Economist,2016-05-20,2016-05-23,2016-05-25T20:43:06Z,1997,Adults,Internet,36,61,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24557,https://today.yougov.com/news/2016/05/25/clinton-expands-her-primary-lead-sanders-supporter/,Nonpartisan,None
Morning Consult,2016-05-19,2016-05-23,2016-05-24T15:12:23Z,2001,Registered Voters,Internet,39,57,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24544,https://morningconsultintelligence.com/media/mc/160507_topline_trend_v2_AP.pdf,Nonpartisan,None
Gallup,2016-05-01,2016-05-22,2016-05-25T19:46:37Z,10598,Adults,Live Phone,33,60,,http://elections.huffingtonpost.com/pollster/polls/gallup-24555,http://www.gallup.com/poll/191825/hillary-clinton-maintains-image-advantage-donald-trump.aspx,Nonpartisan,None
ABC/Post,2016-05-16,2016-05-19,2016-05-22T15:35:17Z,1005,Adults,Live Phone,37,60,3,http://elections.huffingtonpost.com/pollster/polls/abc-post-24526,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2016/05/22/National-Politics/Polling/release_426.xml?uuid=v4d0jh_REeaCwqfcsxMofQ,Nonpartisan,None
NBC/WSJ,2016-05-15,2016-05-19,2016-05-22T15:22:23Z,1000,Registered Voters,Live Phone,29,58,13,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24525,http://www.wsj.com/public/resources/documents/16306NBCWSJMay2016Poll.pdf,Nonpartisan,None
Schoen (D),2016-05-16,2016-05-19,2016-05-22T17:13:42Z,1000,Likely Voters,Live Phone,35,59,6,http://elections.huffingtonpost.com/pollster/polls/schoen-d-24527,http://big.assets.huffingtonpost.com/POTUSSCHOEN5.20.16topline.pdf,Pollster,Dem
Ipsos/Reuters,2016-05-14,2016-05-18,2016-05-19T18:33:20Z,1397,Registered Voters,Internet,46,54,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24517,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical5182016.pdf,Nonpartisan,None
CBS/Times,2016-05-13,2016-05-17,2016-05-19T15:43:52Z,1300,Adults,Live Phone,26,55,19,http://elections.huffingtonpost.com/pollster/polls/cbs-times-24513,http://www.nytimes.com/interactive/2016/05/19/us/politics/poll-presidential-race.html,Nonpartisan,None
Fox News,2016-05-14,2016-05-17,2016-05-18T22:13:53Z,1021,Registered Voters,Live Phone,41,56,3,http://elections.huffingtonpost.com/pollster/polls/fox-news-24512,http://www.foxnews.com/politics/interactive/2016/05/18/fox-news-poll-2016-national-release-may-18/,Nonpartisan,None
McLaughlin (R),2016-05-11,2016-05-16,2016-05-18T16:52:49Z,1000,Likely Voters,Internet,37,60,3,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24510,http://c5.nrostatic.com/sites/default/files/National%20-%20McLaughlin%20-%205-16-16%20Presentation%20-%20NEW%20SPECIAL.pdf,Pollster,Rep
NBC/SurveyMonkey,2016-05-09,2016-05-15,2016-05-17T14:03:29Z,14100,Adults,Internet,37,62,1,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24497,http://www.nbcnews.com/politics/2016-election/hillary-clinton-holds-slim-national-lead-over-donald-trump-poll-n574901,Nonpartisan,None
Morning Consult,2016-05-11,2016-05-15,2016-05-17T14:50:29Z,3971,Registered Voters,Internet,39,57,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24498,https://morningconsult.com/2016/05/poll-trump-barely-leads-trump-nationally/,Nonpartisan,None
Ipsos/Reuters,2016-05-07,2016-05-11,2016-05-14T15:49:30Z,1397,Registered Voters,Internet,43,57,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24487,http://www.ipsos-na.com/download/pr.aspx?id=15581,Nonpartisan,None
YouGov/Economist,2016-05-06,2016-05-09,2016-05-11T17:46:34Z,2000,Adults,Internet,35,61,4,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24478,https://today.yougov.com/news/2016/05/11/most-republicans-think-ryan-should-endorse-trump/,Nonpartisan,None
Morning Consult,2016-05-05,2016-05-09,2016-05-11T15:59:36Z,6005,Registered Voters,Internet,38,58,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24474,https://morningconsult.com/2016/05/hillary-clinton-donald-trump-general-election-polling/,Nonpartisan,None
PPP (D),2016-05-06,2016-05-09,2016-05-10T14:17:04Z,1222,Likely Voters,IVR/Online,34,61,6,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24466,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_51016.pdf,Pollster,Dem
PPP (D),2016-05-04,2016-05-05,2016-05-09T14:54:57Z,884,Likely Voters,IVR/Online,35,55,9,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24455,http://www.publicpolicypolling.com/pdf/2015/NationalSupremeCourtPollMay2016.pdf,Pollster,Dem
Morning Consult,2016-04-29,2016-05-02,2016-05-03T14:47:06Z,1976,Registered Voters,Internet,39,56,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24431,https://morningconsult.com/2016/05/donald-trump-hits-new-high-among-gop-voters/,Nonpartisan,None
CNN,2016-04-28,2016-05-01,2016-05-04T13:43:46Z,1001,Adults,Live Phone,39,57,3,http://elections.huffingtonpost.com/pollster/polls/cnn-24438,http://i2.cdn.turner.com/cnn/2016/images/05/04/rel6b.-.2016.general.pdf,Nonpartisan,None
Morning Consult,2016-04-26,2016-04-29,2016-04-29T17:28:54Z,1964,Registered Voters,Internet,36,60,5,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24408,https://morningconsult.com/2016/04/poll-kasich-gops-favorite-second-choice/,Nonpartisan,None
IBD/TIPP,2016-04-22,2016-04-28,2016-05-01T19:16:05Z,814,Registered Voters,Live Phone,36,62,2,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24414,http://www.investors.com/politics/trump-gains-ground-on-clinton-but-both-have-sky-high-negatives/,Nonpartisan,None
YouGov/Economist,2016-04-22,2016-04-26,2016-04-27T21:51:24Z,2000,Adults,Internet,33,63,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24390,https://today.yougov.com/news/2016/04/27/yougov-economist-poll-april-22-26-2016/,Nonpartisan,None
Suffolk/USA Today,2016-04-20,2016-04-24,2016-04-25T19:13:35Z,1000,Likely Voters,Live Phone,28,61,11,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-24356,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None
Morning Consult,2016-04-20,2016-04-22,2016-04-29T18:17:35Z,2003,Registered Voters,Internet,40,56,2,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24410,https://morningconsultintelligence.com/media/mc/160407_topline_trend_v5_KD.pdf,Nonpartisan,None
GWU/Battleground,2016-04-17,2016-04-20,2016-04-25T14:20:12Z,1000,Likely Voters,Live Phone,32,65,3,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-24342,https://mediarelations.gwu.edu/americans-overwhelmingly-engaged-2016-election-tone-race-affecting-voters-new-gw-battleground-poll,Nonpartisan,None
Morning Consult,2016-04-15,2016-04-17,2016-04-18T19:24:26Z,2032,Registered Voters,Internet,36,61,3,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24302,https://morningconsult.com/2016/04/bernie-sanders-hillary-clinton-democratic-presidential-poll/,Nonpartisan,None
NBC/WSJ,2016-04-10,2016-04-14,2016-04-18T21:05:54Z,1000,Registered Voters,Live Phone,24,65,11,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24305,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/16229%20NBCWSJ%20April%20Poll.pdf,Nonpartisan,None
CBS,2016-04-08,2016-04-12,2016-04-14T14:30:14Z,1098,Registered Voters,Live Phone,25,63,12,http://elections.huffingtonpost.com/pollster/polls/cbs-24275,http://www.cbsnews.com/news/cbs-news-poll-donald-trump-holds-onto-national-lead/,Nonpartisan,None
YouGov/Economist,2016-04-08,2016-04-11,2016-04-13T15:34:28Z,1997,Adults,Internet,34,63,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24266,https://today.yougov.com/news/2016/04/13/tale-two-conventions/,Nonpartisan,None
Morning Consult,2016-04-08,2016-04-11,2016-04-19T17:22:39Z,4015,Registered Voters,Internet,36,60,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24311,https://morningconsultintelligence.com/media/mc/160403_topline_trend_v2_AP.pdf,Nonpartisan,None
ABC/Post,2016-04-06,2016-04-10,2016-04-14T14:08:52Z,1010,Adults,Live Phone,31,67,2,http://elections.huffingtonpost.com/pollster/polls/abc-post-24273,https://www.washingtonpost.com/news/the-fix/wp/2016/04/14/republicans-like-donald-trump-and-ted-cruz-the-general-public-doesnt/,Nonpartisan,None
AP-GfK (web),2016-03-31,2016-04-04,2016-04-07T19:01:11Z,1076,Adults,Internet,26,69,5,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-24229,http://ap-gfkpoll.com/main/wp-content/uploads/2016/04/March-2016-AP-GfK-Poll-FINAL_Clinton.pdf,Nonpartisan,None
Public Religion Research Institute/The Atlantic,2016-03-30,2016-04-03,2016-04-07T18:27:31Z,2033,Adults,Live Phone,24,70,6,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-the-atlantic-24228,http://publicreligion.org/site/wp-content/uploads/2016/04/PRRI-The-Atlantic-Poll-Topline-FINAL.pdf,Nonpartisan,None
Morning Consult,2016-04-01,2016-04-03,2016-04-05T13:18:16Z,2004,Registered Voters,Internet,37,60,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24207,https://morningconsult.com/2016/04/donald-trump-polling-abortion-comments/,Nonpartisan,None
YouGov/Economist,2016-03-26,2016-03-29,2016-03-31T20:35:54Z,1997,Adults,Internet,35,62,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24181,https://today.yougov.com/news/2016/03/31/trump-still-leads/,Nonpartisan,None
Morning Consult,2016-03-24,2016-03-26,2016-03-28T17:06:25Z,2071,Registered Voters,Internet,36,60,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24158,https://morningconsult.com/2016/03/security-issues-rise-after-brussels-attacks/,Nonpartisan,None
PPP (D),2016-03-24,2016-03-26,2016-03-31T18:05:23Z,1083,Likely Voters,IVR/Online,29,63,8,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24178,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_33116.pdf,Pollster,Dem
GQR (D-Democracy Corps/Women's Voices Women Vote),2016-03-17,2016-03-24,2016-04-01T18:06:29Z,900,Likely Voters,Live Phone,28,62,,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-women-s-voices-women-vote-24187,http://www.democracycorps.com/attachments/article/1029/Dcor_March%20National_Memo_4.1.2016_FOR%20RELEASE.pdf?ct=t%28WV+March+National+Poll+Release%29,Pollster,Dem
McLaughlin (R),2016-03-17,2016-03-23,2016-03-29T18:06:35Z,1002,Likely Voters,Internet,33,65,3,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24168,http://mclaughlinonline.com/pols/wp-content/uploads/2016/03/National-Omnibus-3-23-16-Topline-Public.pdf,Pollster,Rep
Bloomberg/Selzer,2016-03-19,2016-03-22,2016-03-23T21:46:55Z,1000,Adults,Live Phone,29,68,3,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-24140,http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/r.f2qF2GAiq8/v0,Nonpartisan,None
FOX,2016-03-20,2016-03-22,2016-03-23T22:19:32Z,1016,Registered Voters,Live Phone,31,65,4,http://elections.huffingtonpost.com/pollster/polls/fox-24141,http://www.foxnews.com/politics/interactive/2016/03/23/fox-news-poll-national-general-election-32316/,Nonpartisan,None
Morning Consult,2016-03-18,2016-03-21,2016-03-21T19:05:11Z,2001,Registered Voters,Internet,34,62,3,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24122,https://morningconsult.com/2016/03/paul-ryan-general-election-polling-hillary-clinton-bernie-sanders/,Nonpartisan,None
Quinnipiac,2016-03-16,2016-03-21,2016-03-23T11:19:56Z,1451,Registered Voters,Live Phone,33,61,6,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24134,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2333,Nonpartisan,None
CNN,2016-03-17,2016-03-20,2016-03-24T16:25:09Z,1001,Adults,Live Phone,31,67,2,http://elections.huffingtonpost.com/pollster/polls/cnn-24146,http://i2.cdn.turner.com/cnn/2016/images/03/24/march.poll.pdf,Nonpartisan,None
CBS/Times,2016-03-17,2016-03-20,2016-03-22T02:44:13Z,1058,Registered Voters,Live Phone,24,57,19,http://elections.huffingtonpost.com/pollster/polls/cbs-times-24128,http://www.scribd.com/doc/305549318/3-21-16-CBS-NYT-Gen-Elect-Toplines,Nonpartisan,None
Monmouth University,2016-03-17,2016-03-20,2016-03-24T14:57:21Z,848,Registered Voters,Live Phone,30,60,11,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24144,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/7714a05b-515f-4ad3-bdaa-e72a6e5f8e61.pdf,Nonpartisan,None
Morning Consult,2016-03-16,2016-03-18,2016-03-18T17:59:58Z,2011,Registered Voters,Internet,37,58,5,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24111,https://morningconsult.com/2016/03/cruz-edges-closer-to-trump-new-presidential-poll/?utm_content=31597007&utm_medium=social&utm_source=twitter,Nonpartisan,None
Morning Consult,2016-03-11,2016-03-13,2016-03-14T17:45:27Z,4027,Registered Voters,Internet,35,60,5,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24088,https://morningconsult.com/2016/03/bernie-sanders-hillary-clinton-donald-trump-ted-cruz-presidential-polling/,Nonpartisan,None
YouGov/Economist,2016-03-10,2016-03-12,2016-03-14T17:17:34Z,1998,Adults,Internet,36,61,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24084,https://today.yougov.com/news/2016/03/14/trump-rises-national-support-rubio-falls-and-carso/,Nonpartisan,None
ABC/Post,2016-03-03,2016-03-06,2016-03-08T12:06:27Z,1000,Adults,Live Phone,30,67,3,http://elections.huffingtonpost.com/pollster/polls/abc-post-24009,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-national-poll-march-3-6-2016/1982/,Nonpartisan,None
NBC/SurveyMonkey,2016-02-29,2016-03-06,2016-03-08T11:30:08Z,21996,Adults,Internet,32,67,1,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24008,https://www.scribd.com/doc/302999656/NBC-News-SurveyMonkey-Toplines-and-Methodology-2-29-3-6?secret_password=RqOsJk7HFnKkgH03TY1h,Nonpartisan,None
Morning Consult,2016-03-04,2016-03-06,2016-03-08T15:38:21Z,2019,Registered Voters,Internet,36,61,4,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24011,http://morningconsult.com/2016/03/poll-ted-cruz-closes-gap-on-donald-trump/,Nonpartisan,None
NBC/WSJ,2016-03-03,2016-03-06,2016-03-08T22:13:19Z,1200,Registered Voters,Live Phone,25,64,11,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24016,http://www.nbcnews.com/politics/2016-election/trump-cruz-locked-tight-race-nationally-new-poll-n534171,Nonpartisan,None
Gallup,2016-02-26,2016-03-03,2016-03-05T19:31:39Z,,Adults,Live Phone,30,63,,http://elections.huffingtonpost.com/pollster/polls/gallup-23988,http://www.gallup.com/opinion/polling-matters/189779/trump-popularity-context.aspx,Nonpartisan,None
YouGov/Economist,2016-02-24,2016-02-27,2016-02-28T23:08:26Z,1988,Adults,Internet,36,59,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23910,https://today.yougov.com/news/2016/02/28/3-4-republican-primary-voters-now-expect-trump-nom/,Nonpartisan,None
Morning Consult,2016-02-26,2016-02-27,2016-02-29T17:19:46Z,2002,Registered Voters,Internet,40,56,5,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23918,http://morningconsult.com/2016/02/donald-trump-marco-rubio-super-tuesday-polling/,Nonpartisan,None
CNN,2016-02-24,2016-02-27,2016-03-01T14:22:05Z,920,Registered Voters,Live Phone,37,60,2,http://elections.huffingtonpost.com/pollster/polls/cnn-23952,http://i2.cdn.turner.com/cnn/2016/images/02/29/rel4b.-.2016.general.pdf,Nonpartisan,None
McLaughlin (R),2016-02-11,2016-02-17,2016-02-26T21:51:10Z,1000,Likely Voters,Internet,35,62,3,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-23899,http://mclaughlinonline.com/pols/wp-content/uploads/2016/02/National-Omnibus-2-17-16-TOPLINE-Public.pdf,Pollster,Rep
Morning Consult,2016-02-15,2016-02-16,2016-02-17T11:44:02Z,1763,Registered Voters,Internet,39,55,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23766,http://morningconsult.com/2016/02/trump-drops-slightly-clinton-holds-steady-in-new-poll/,Nonpartisan,None
NBC/WSJ,2016-02-14,2016-02-16,2016-02-18T22:10:10Z,800,Registered Voters,Live Phone,28,59,13,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23801,https://www.scribd.com/doc/299690763/NBCNews-WSJ-February-Poll?secret_password=Mf2CgQ8zDGpLW73pfCoJ,Nonpartisan,None
