"DATA.TYPE","YEAR","ICPR.STATE.CODE","STATE.NAME","variable","value"
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.01.04",27953
"S",860,49,"TEXAS","X860SLAVE.FEMALES.01.04",13336
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.01.04",16041
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.01.04",5819
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.01.04",20197
"S",860,65,"NEVADA","X860SLAVE.FEMALES.01.04",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.01.04",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.01.04",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.05.09",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.05.09",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.05.09",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.05.09",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.05.09",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.05.09",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.05.09",124
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.05.09",0
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.05.09",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.05.09",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.05.09",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.05.09",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.05.09",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.05.09",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.05.09",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.05.09",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.05.09",1
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.05.09",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.05.09",9314
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.05.09",1
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.05.09",35387
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.05.09",31491
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.05.09",8056
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.05.09",4274
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.05.09",34797
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.05.09",20278
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.05.09",29429
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.05.09",26308
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.05.09",29515
"S",860,49,"TEXAS","X860SLAVE.FEMALES.05.09",13727
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.05.09",17618
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.05.09",6163
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.05.09",21966
"S",860,65,"NEVADA","X860SLAVE.FEMALES.05.09",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.05.09",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.05.09",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.10.14",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.10.14",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.10.14",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.10.14",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.10.14",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.10.14",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.10.14",146
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.10.14",0
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.10.14",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.10.14",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.10.14",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.10.14",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.10.14",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.10.14",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.10.14",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.10.14",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.10.14",0
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.10.14",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.10.14",8539
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.10.14",1
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.10.14",33820
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.10.14",28968
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.10.14",7090
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.10.14",4145
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.10.14",31547
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.10.14",17043
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.10.14",27160
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.10.14",23759
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.10.14",27647
"S",860,49,"TEXAS","X860SLAVE.FEMALES.10.14",12099
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.10.14",16063
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.10.14",5898
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.10.14",20077
"S",860,65,"NEVADA","X860SLAVE.FEMALES.10.14",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.10.14",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.10.14",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.15.19",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.15.19",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.15.19",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.15.19",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.15.19",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.15.19",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.15.19",149
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.15.19",0
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.15.19",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.15.19",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.15.19",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.15.19",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.15.19",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.15.19",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.15.19",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.15.19",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.15.19",0
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.15.19",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.15.19",6835
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.15.19",1
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.15.19",27362
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.15.19",25747
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.15.19",6997
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.15.19",3497
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.15.19",26708
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.15.19",17334
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.15.19",25402
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.15.19",18317
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.15.19",23205
"S",860,49,"TEXAS","X860SLAVE.FEMALES.15.19",11576
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.15.19",13590
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.15.19",5359
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.15.19",16099
"S",860,65,"NEVADA","X860SLAVE.FEMALES.15.19",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.15.19",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.15.19",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.20.29",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.20.29",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.20.29",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.20.29",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.20.29",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.20.29",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.20.29",182
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.20.29",0
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.20.29",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.20.29",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.20.29",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.20.29",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.20.29",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.20.29",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.20.29",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.20.29",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.20.29",1
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.20.29",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.20.29",9497
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.20.29",2
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.20.29",37823
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.20.29",39180
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.20.29",11117
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.20.29",5413
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.20.29",41199
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.20.29",31415
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.20.29",40259
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.20.29",26494
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.20.29",33952
"S",860,49,"TEXAS","X860SLAVE.FEMALES.20.29",17285
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.20.29",17711
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.20.29",7372
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.20.29",23778
"S",860,65,"NEVADA","X860SLAVE.FEMALES.20.29",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.20.29",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.20.29",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.30.39",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.30.39",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.30.39",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.30.39",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.30.39",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.30.39",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.30.39",99
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.30.39",1
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.30.39",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.30.39",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.30.39",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.30.39",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.30.39",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.30.39",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.30.39",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.30.39",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.30.39",0
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.30.39",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.30.39",6019
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.30.39",1
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.30.39",26090
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.30.39",25058
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.30.39",6164
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.30.39",3483
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.30.39",26216
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.30.39",21331
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.30.39",24190
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.30.39",16737
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.30.39",23753
"S",860,49,"TEXAS","X860SLAVE.FEMALES.30.39",10008
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.30.39",11866
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.30.39",4485
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.30.39",14798
"S",860,65,"NEVADA","X860SLAVE.FEMALES.30.39",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.30.39",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.30.39",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.40.49",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.40.49",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.40.49",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.40.49",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.40.49",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.40.49",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.40.49",48
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.40.49",0
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.40.49",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.40.49",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.40.49",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.40.49",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.40.49",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.40.49",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.40.49",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.40.49",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.40.49",0
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.40.49",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.40.49",3649
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.40.49",3
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.40.49",17862
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.40.49",15510
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.40.49",3496
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.40.49",2238
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.40.49",15893
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.40.49",14676
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.40.49",14278
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.40.49",10005
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.40.49",16339
"S",860,49,"TEXAS","X860SLAVE.FEMALES.40.49",5758
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.40.49",7643
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.40.49",2939
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.40.49",8487
"S",860,65,"NEVADA","X860SLAVE.FEMALES.40.49",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.40.49",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.40.49",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.50.59",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.50.59",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.50.59",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.50.59",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.50.59",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.50.59",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.50.59",26
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.50.59",0
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.50.59",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.50.59",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.50.59",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.50.59",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.50.59",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.50.59",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.50.59",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.50.59",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.50.59",0
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.50.59",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.50.59",1881
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.50.59",0
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.50.59",11188
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.50.59",7830
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.50.59",1480
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.50.59",1145
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.50.59",8439
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.50.59",7248
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.50.59",6319
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.50.59",7225
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.50.59",9121
"S",860,49,"TEXAS","X860SLAVE.FEMALES.50.59",2528
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.50.59",4317
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.50.59",1709
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.50.59",5333
"S",860,65,"NEVADA","X860SLAVE.FEMALES.50.59",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.50.59",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.50.59",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.60.69",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.60.69",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.60.69",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.60.69",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.60.69",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.60.69",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.60.69",12
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.60.69",2
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.60.69",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.60.69",NA
"S",860,21,"ILLINOIS","X860SLAVE.FEMALES.60.69",NA
"S",860,22,"INDIANA","X860SLAVE.FEMALES.60.69",NA
"S",860,23,"MICHIGAN","X860SLAVE.FEMALES.60.69",NA
"S",860,24,"OHIO","X860SLAVE.FEMALES.60.69",NA
"S",860,25,"WISCONSIN","X860SLAVE.FEMALES.60.69",NA
"S",860,31,"IOWA","X860SLAVE.FEMALES.60.69",NA
"S",860,32,"KANSAS","X860SLAVE.FEMALES.60.69",0
"S",860,33,"MINNESOTA","X860SLAVE.FEMALES.60.69",NA
"S",860,34,"MISSOURI","X860SLAVE.FEMALES.60.69",942
"S",860,35,"NEBRASKA","X860SLAVE.FEMALES.60.69",0
"S",860,40,"VIRGINIA","X860SLAVE.FEMALES.60.69",7563
"S",860,41,"ALABAMA","X860SLAVE.FEMALES.60.69",4603
"S",860,42,"ARKANSAS","X860SLAVE.FEMALES.60.69",836
"S",860,43,"FLORIDA","X860SLAVE.FEMALES.60.69",582
"S",860,44,"GEORGIA","X860SLAVE.FEMALES.60.69",5069
"S",860,45,"LOUISIANA","X860SLAVE.FEMALES.60.69",3551
"S",860,46,"MISSISSIPPI","X860SLAVE.FEMALES.60.69",3914
"S",860,47,"NORTH CAROLINA","X860SLAVE.FEMALES.60.69",4106
"S",860,48,"SOUTH CAROLINA","X860SLAVE.FEMALES.60.69",5312
"S",860,49,"TEXAS","X860SLAVE.FEMALES.60.69",1156
"S",860,51,"KENTUCKY","X860SLAVE.FEMALES.60.69",2484
"S",860,52,"MARYLAND","X860SLAVE.FEMALES.60.69",1197
"S",860,54,"TENNESSEE","X860SLAVE.FEMALES.60.69",2715
"S",860,65,"NEVADA","X860SLAVE.FEMALES.60.69",NA
"S",860,71,"CALIFORNIA","X860SLAVE.FEMALES.60.69",NA
"S",860,72,"OREGON","X860SLAVE.FEMALES.60.69",NA
"S",860,1,"CONNECTICUT","X860SLAVE.FEMALES.70.79",NA
"S",860,2,"MAINE","X860SLAVE.FEMALES.70.79",NA
"S",860,3,"MASSACHUSETTS","X860SLAVE.FEMALES.70.79",NA
"S",860,4,"NEW HAMPSHIRE","X860SLAVE.FEMALES.70.79",NA
"S",860,5,"RHODE ISLAND","X860SLAVE.FEMALES.70.79",NA
"S",860,6,"VERMONT","X860SLAVE.FEMALES.70.79",NA
"S",860,11,"DELAWARE","X860SLAVE.FEMALES.70.79",8
"S",860,12,"NEW JERSEY","X860SLAVE.FEMALES.70.79",7
"S",860,13,"NEW YORK","X860SLAVE.FEMALES.70.79",NA
"S",860,14,"PENNSYLVANIA","X860SLAVE.FEMALES.70.79",NA
